path,target_path,bytes,sha256,working_sha256,classification,disposition,notes
assets/cards/guardian_normal.svg,legacy/web-prototype/assets/cards/guardian_normal.svg,1980,263089d2d7b8fad7e4a29cc76fed07dd6ec45c3f34b15228bdc599cb3a247687,120937e8c80450688a80d1ca41eca9531bd731b80b1557525f04bf54d1af8899,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/healing_epic.svg,legacy/web-prototype/assets/cards/healing_epic.svg,2253,dfb117fe18e3555f8bcb430e00e3b346ede2cf753068600e4c510400ec2bb0e8,a7e76fea90a2b779aff2576ca099e815525a15458ce23d3ef4c5297dba4a0450,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/healing_legendary.svg,legacy/web-prototype/assets/cards/healing_legendary.svg,2039,7a2513fff0176a3615043694559d0bfb04dae2a2f88fc0c10c34f968fbbb1f79,3e7f9b8e250c43a5588f4291f3136abbdb7da589235dd8ce9308c8c9bb00c557,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/healing_normal.svg,legacy/web-prototype/assets/cards/healing_normal.svg,2041,5e5c224e8d651dc9063e04f8f1da4c569faa1b519ea6ed2b3349a2038bd334bb,4371a99480835f8b4483b975b99498304e520eff968b5bb16fee20b9b8cd7978,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/ice_epic.svg,legacy/web-prototype/assets/cards/ice_epic.svg,2234,d152c462a4a5fa9c3e26ef0f1d8256c3f99c28a587a09852f4e2ca9a8fa28c07,849bd9cdc537767af2b94642de9c01adeb5f5b9f04354bbde1004ff11bcd01d6,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/ice_legendary.svg,legacy/web-prototype/assets/cards/ice_legendary.svg,2022,0992c72a0c8790c1fb32d904e966c99cf29e71800c097f40c793d480d7f0bfb3,4ea317e94e5cb6057c21e7b20563ff6676cb52b18497cda8574f67cdb8cd13ca,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/ice_normal.svg,legacy/web-prototype/assets/cards/ice_normal.svg,2019,9a0b6808a1d2dd19f4fdcba9c7db8e8dc888dfcc66158419cbe40588679c34a1,9b93e2aca57e086db58c291177d5873ad70b83ca94ea574ad3854fa15ede31a5,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_001.svg,legacy/web-prototype/assets/cards/legacy_001.svg,1961,9e0203d81043f5f8d7b3fca41935b81f4f678ccc81733a5a3873495151f03014,cea609dfc62ef579f6f9562c5b8529794269562057181d883051651cdca81ad2,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_002.svg,legacy/web-prototype/assets/cards/legacy_002.svg,1892,b9ca838b07d74d5d5a31e14d8e91688283ed604f45b7b37df85f2231801eab79,1fdd140cf4d2890aba91b0a4a6fa7bb9dc94306435f9f03d0dbe5220d6f10942,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_003.svg,legacy/web-prototype/assets/cards/legacy_003.svg,1905,f3ea4fb35bed54fcc1ce0cf110ec0ff73617f7a504cf7c4c3fd63f742cca4e84,9a5ad57ebc82afda7f9c9552408631824dc0c4a9e95290d15ff9a1a48f753674,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_004.svg,legacy/web-prototype/assets/cards/legacy_004.svg,1941,13d048864325919ba176bec5cd73479a9a2ba7319c9b82e99f15798adb6b3e5e,84e3546c23c1483fc1678215d40a6856f91311c866b8f452ca4512f8f928b80a,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_005.svg,legacy/web-prototype/assets/cards/legacy_005.svg,1926,2963e308e9c99ad0e53e99abf409a1c79f10b0112b945625ab9afc0da3c629b4,ba3b785ebd88f299e95af5fbdcfc3ef1a5a98fc14ee95bff42a87aca9a57a61c,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_006.svg,legacy/web-prototype/assets/cards/legacy_006.svg,1934,bec6e3530ed20a2ef9d16708c94fb9528c0620d735f45da377aa8d853a39add7,c525ff113f9e53fc6e05df2f32216dba3e09336614b6ae12974aae05a1d97f63,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_007.svg,legacy/web-prototype/assets/cards/legacy_007.svg,1937,9e446ccd91fd1581a7a4eb6917ff7522b49d78f2afcd22a6f5c8a15fdf554bd0,326b013d5cbfdbbc1e843add61f108c1ff452e6f759f9c3a6f3903a765cf44d7,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_008.svg,legacy/web-prototype/assets/cards/legacy_008.svg,1931,38f3b7d02a124daee40e87022e80b07e74b8422dbc822858001bdc2c79277c21,92595229ea019f97b1c3456f10cd9b8e657d95e45d2e1c9dd10d15024048a296,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_009.svg,legacy/web-prototype/assets/cards/legacy_009.svg,1996,07627874fda2f0d4bcabb9c2daf7c1a695e6365559585cecd56d6996a2b20b0c,bfd60f58f4828c4365aff00b2d8f03d5e93ac8e1a6d997b7c7134c9837825079,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_010.svg,legacy/web-prototype/assets/cards/legacy_010.svg,1927,a53517bf3609e25deb144c09e04914598579fb93eb6f2829bc96733b023fe216,fb9af10134edd28358bb05236281fe0ce38de05e3663d332d4aed2cf94984836,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_011.svg,legacy/web-prototype/assets/cards/legacy_011.svg,1935,218b4591abfd7ec6148ce69bb3313396674f41751dd4285593f1fb75ca890d38,aa9c0008bd62c0993163783358e56a3242cabff061b8cc66a6effdeb2cbfef4e,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_012.svg,legacy/web-prototype/assets/cards/legacy_012.svg,1939,61575c1dfb2b4f5043c328d8f726135c579ca2b68c7492866dd4ba88e8ccdf6f,7a001da02851053a86dce915ddccb0d3ca70af4ff38d9f8a777f3a8d7f9b8ed3,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_013.svg,legacy/web-prototype/assets/cards/legacy_013.svg,1940,c995526fa43cf62c263c2c2f45f825a90661f540633740742dae8b10bdfd51d0,b73de33b73c61e5a2432c39cece64ef0b6baecec16359613b039123e45be9f80,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_014.svg,legacy/web-prototype/assets/cards/legacy_014.svg,1938,9dbad3b147e7f9a17f7a3325a0a16fa01334da7f24488581608b886952e7a323,18515d8acaf22ed1a9b867288bcb819b9e0f0ea44eb59206eb3190e5a02b91f4,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_015.svg,legacy/web-prototype/assets/cards/legacy_015.svg,1978,e209acca7f1cf2dceedd7104e4d7cc12fb55d2c95a916a29520a9dc17ee37fc7,44cbc24887e5ec361a2c1d91e0fa368bc6e92e2922d15e72b2d2e5f141747779,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_016.svg,legacy/web-prototype/assets/cards/legacy_016.svg,1956,98cd5ac1f8d819693e295a0ba97bf796fe31f71b21f69afab3d2ae748a48e271,0aaaedc30af178c19ff533d159dd8464a116f1eb0004b3dc89c583574bc0714d,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_017.svg,legacy/web-prototype/assets/cards/legacy_017.svg,1996,4d2ba7f335b357315cb41034e2ff69b09041b65dcc11bf32a3f7588e08fc0ac5,0919c07efb4977459b89690c2feb1b5b94671ffc0208b6a2393ff9b9c5b015c2,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_018.svg,legacy/web-prototype/assets/cards/legacy_018.svg,1917,666e9d2a28b7c7d29f21dbcf18c942e1f1b004088b84654b9b25feb9bd8da335,05b22e40e25522f2f04438bbdda74126f06cb73be4953daa4421ddf0f5aae065,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_019.svg,legacy/web-prototype/assets/cards/legacy_019.svg,1932,1ee05d34cea0eb684e04d28ec2633da83ab4ac86b3b7772fbec3c39992e4155d,d9d0639d8bb1497aa27cbf3cd207c5d660af408927b5c9bf4f1f9ffee5038803,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/legacy_020.svg,legacy/web-prototype/assets/cards/legacy_020.svg,1917,2ddba750c82686f97aff16eb1f56c36b5e8ca9f1c0bb61c6e5503f17b1f6f21c,2a563913d24eb2da650eb6146dc9ee424fa4356098747265bb55a99eade827ec,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
