path,bytes,sha256,classification,disposition,notes
HeroSmash/.git/hooks/pre-rebase.sample,4898,4febce867790052338076f4e66cc47efb14879d18097d1d61c8261859eaaa7b3,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/hooks/pre-receive.sample,544,a4c3d2b9c7bb3fd8d1441c31bd4ee71a595d66b44fcf49ddb310252320169989,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/hooks/prepare-commit-msg.sample,1492,e9ddcaa4189fddd25ed97fc8c789eca7b6ca16390b2392ae3276f0c8e1aa4619,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/hooks/push-to-checkout.sample,2783,a53d0741798b287c6dd7afa64aee473f305e65d3f49463bb9d7408ec3b12bf5f,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/hooks/sendemail-validate.sample,2308,44ebfc923dc5466bc009602f0ecf067b9c65459abfe8868ddc49b78e6ced7a92,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/hooks/update.sample,3650,8d5f2fa83e103cf08b57eaa67521df9194f45cbdbcb37da52ad586097a14d106,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/index,38977,58b97ccb0e104b16f73d2ee4d052868cc8b74a36174c223266375c09214d1a88,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/info/exclude,240,6671fe83b7a07c8932ee89164d1f2793b2318058eb8b98dc5c06ee0a5a3b0ec1,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/logs/HEAD,564,4c0a4a133c5e12089a09cdc33d28c7f04b8fd57c5ba97030d6a3bc125538df82,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/logs/refs/heads/main,379,236d4b6e8203181dbe9e26f80dc30af14309c5d634642b355fd7ae60645e2238,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/logs/refs/remotes/origin/main,147,c6462f1913d71eb4ab94ee267f483edf0af6dc037982a89e747156e0d9858cf9,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/00/90b24ad1361d9397771c0a6e6d70cfadd837a1,664,4ccb1ffe19dff8423baf6e1878568f3a183f4cf29c1a2edb9bcdecc170042d81,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/03/0ec242b96f2735df1445fb03df7b3d712e7968,95346,e4b38a890c63a78af2fb67613cc48a0ebd81c7b665239c740268d93b0b94e93c,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/03/dcc583815756a4a3092d4922d9e88b77f319ff,1046320,2be97a3cb916f7f71d9e6af858ac66c3b4f73afb064b5644acf17cc4e96f5ed5,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/04/c07560d2a313899ffa385a3da558740302f8c9,834,4815bbc11e6f69689622d47e00051a6ec706bed7701e4feba4ee042efc57ac18,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/05/7c822fee413b6ef12b8592f2ed303f740bc192,304,b844e1a4ebf547a96237abfe0b04ec4c820f0516cea3f2c3934cbb650379f4cd,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/05/bec26f338c212621a0ff51bc42ff5f3a0d3d7c,94608,d710c272e60c2b825acdaa1d3ebe78b9b68f97fd6d317a49de949d727ffdb3ec,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/06/e3b2f30e4128e2fdff803b018694c0f5d32c40,303,b676e76f9cf6c6f1fbcdfb91d37fe87c3852d9fccb7b3e371ea4e6b4ef1c96b2,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/07/161e10388ba9a9b812ca9da1516d4d76c5261b,2735914,9ea1ab2184cd12225ce01ffd446e019789f11ac832e5b06e59d49ed704c828d2,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/08/42ade683386661bad0fdfc9c83cd8418e30c74,838,f7bf37ecb1745cf02300c5686318f3076b8cc5209036b633f086a8a541ed21bf,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/08/99f092a56eff82c0a2c5948935bd1d0ce7e763,662,c4afff02bff7755b09defa1a30fb83172e8f5f3645caed3d74a3e13a4dd39e1e,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/09/ef342f5170ee9d6de4108ddcd9d01335c32494,188,b3782950f244dc1702995d1f469e6863c43c6027a2e2d810ed45725d9b4d604a,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/0a/3ffe8d1a0ecc0bd4486bf61342772cc0b75a2a,225,20b85c73ab97db4629b25a370ad84824804d30485b9a8be9055acecb244e130f,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/0b/38b7e601c251d8230b55f82670302dd2f919dc,1412,f0083799e164044c5160b72e0e92c452d7766eeed7bcc736e182e144f4345ae0,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/0b/bb4633a7c9487c70e8cf673722e29d4a701f97,173,a89f49d1d3a00cd487079924b95a3914f21acf8486ab5c960206fbdcf9f3ab5e,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/0d/aef5e495196a234559f14c4fde34a4dfaaa0e4,480064,bd598a711ceb37a01fcae2bb2c62176caa7d86d042c28d4a9b87d847bb777742,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/0d/d371cfe242518bf988f2a3004b9193e1d0505f,2030094,04b5869ae09f41660a2e80739d78dd86bfaba26c7d879b2021dcae6044f3c100,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/0e/06d1c032c6db7cf4ae53b6512cadb26525f851,845,e54f55655c8d1ce3cc7a411daa365e90a7c9127484af506f487bcf5e2bf73a79,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/0e/5b51b8755b2940cae1074fd9e6008c68f216b9,473,0c7a0f2c4251ebc8f4e3e118fb8e88ef999d84a66774715889cd1f7b472e18cc,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/0e/9651fe33fc032bb6468e5c7f44be249604a3ff,794,d08ebb5e6bfeacb54c4681c4ce04e9bd99e4df08fc2c6ccd748a42c483bbcd03,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/0e/99c4317e6c0d2f205796c6a3dfa885ec366a7a,863,9bd68d696ec67259d338717e6e4625e0441ebb514889592614e1feba4fcead4b,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/0e/cab58507a8d610658097c7186c1a7e764fd894,1722,7e55ff0077dada8512496704c570c42f46c416807877cba00bd2ccc7f9d6476a,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/0f/d472a5c112c03b50325f6084afd6132f47742e,796,2fd1913d957b2e86cadc0f061e89f78bf7b5edbd9340a6bc2ffcdc34bb0cd322,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/10/46563bd093a788faced09f66843519a1fd9283,150,c317a2ab85c5adc833e950195cd3ba7e3786816b63eee924bc387a3965ae8fbb,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/10/8dd4abb012e5bdfa59de2b72a76ebb3ec332d4,563,a472a493e4facf18005a1963728a81b78ca02e12b7f30618238fcff3c1814a09,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/10/bc891cd44cd5779130f710263a14f5ea006ae6,94,c78040a3e5bb966c72b512ca369f1141774597fedd9c2f587371711120ff06aa,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/11/66da8d4c6ff29963d9a86cab1a0565d3aa7d3e,1185,bdaf089291e77845c24f97028baa9188cdaaef2caea89346974915b7605bfd42,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/11/73d1d20159ac153694bcf1c580a7957d48f318,469,2dcad2ab18229c8d0c0c62a6ce1939127361ca56ad1464707b4c29098c60bcf8,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/13/5145d6020c300169aaf8ba2c76e56f46f53803,816,79661d359d8eabaf3dc5c42a021ae5e3e6dca037ba2dfa9ca0937e0f01f1bc08,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/13/f1135ccaee50ecbc5fcb51d263d279a3c4961d,789,392b07aa7d27acb07dfd97d14328edce2159b7b20416455fc0d27a1fb8b4f2a8,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/14/341ac6e925cc725610d22a3fefc65b429a9358,808,32b59610e7b6bbd68e38b07d4ed7bdbc6df1e4dd30a867b65593b9048219af0c,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/14/a1b5d426ca528207cf7b6b12f771de8f806d99,735,b6331636d5bd76c5c881c57bebb09b6b4fded78c22be5dfcad3709af97f20948,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/14/cfaba8ef8c9faaf6e68f744ded3a3e5342cb5e,285,c6948782ae230e74896b8d125b582d299182f0d82bac097008e8dd7742aae1c8,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/17/6f7e17d9adbe1675de221fa306c3c84cb65c5f,702,591bf12a287c2c4a51292dca2031aa28521a070d99ea4ffede7874563dae251c,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/17/8b1ae08434577d84b49e162e0eaaf4b7399458,107,362b0fece9f4aa4a6819193952465af87622747c6c91fecc17f4883e5fa9794c,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/19/12f5f3142f3a558c678981438f4e3a6e8ab63b,824,bd047097966d7666a1208b35862b0f907d6751e60484cb5b6bc4a0c297009c33,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/19/47c6b8e6741cc7fbafdae1f5fdc06884a43527,1000914,fa3d670faa83b2f91f6591732ee07204600a6b87a985006b5622cef883c047a8,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/19/8cfbc78c1e29affb209cca8292f0fb5353d987,833,65ec03cfaf58ccb0a975ebed3b3c9903d34d1469e79000e785187470f6e70475,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/19/bf1ca41eb4c1b49c65bae30e9c5719ab373ea1,193,096fcf8b6dd5466b148b664160520a579ae45560d156debc9fba8032cb2f395b,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/19/fb0839952cad4d1a90d3d269a4dabfdd29bd7e,884,f25a66ee67714cce05561ddd521bada6e304145e7376c1d5b25b4556128e2c66,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/1a/098fabbb4caada49abdfc6b750fd3d0d50d4b1,798,23e734f5ab75f3307fa7b99807a8567a685637f99454fa0dc3f4ef2d997be8f2,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/1a/196f6b45b590a631f8adeb5f9ba668b1e073e9,793,565e127ccfe80df2c34d8f885cbcb10ab5cff5f351ba0b0eadc34ad0ad390d2c,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/1a/a3ea1551e298106e47b4f4060491224da40a8c,266,51d5f9cea69f2e1089bddb3f37b9cb2e788ec5b65d2349cead427d7070c6494d,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/1c/3b3ebe5e3f533d4998a1f143ca04a123962df7,1365063,0fa27eadab9da4212b497ba9eb497922bd133ce704c41b501092f0a2d44dfff3,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/1c/c3022a9fd41f6ffcf3624eabcf8d2f48c7a7ed,821,c574c25b677f29e834aa2e12a3746957288cc39f2c56fd753ccd4ab0a3d5f5d9,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/1d/0a1c7085313f7481cf019363d2527fe0a8af2d,18362,c300edc754c18c3e37914ab3e85ae4027a95acc352299988512e6e99660df191,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/1e/49381503648f50b766fe60808d91d7d4a9ce1c,100499,1e9fc5af0115b038fda6aec518ea4ddc0435089bb0afe93810d5afa33b7aa509,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/1e/ac74e14b40cff668259cc7e37c8c89ecd4661c,191,51224d54407c1e3ba2146248d999299af8114060e1375859aa26549732e7b811,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/1e/b67f3919eec799a38dda7d899204a454e512a1,808,29beb204db22854025facbc7af93c683c5fc627a9532fe371a33f84dbdee12c1,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/1e/d85e7fe7cfbaa487012e769451f4b4136f13d0,388,42d07a2c3c39d5e47028aef641cb28eb04f44af4f63aed7181f0b6bafcbec182,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/1e/e344a0f38583bfc57bb68563a934ede0559b93,686,ca0b317bc494fb51cb1de091e4f7ac7c5fbb97fd79ce4990044eb330e9348e88,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/1f/56a39f3f97ba75ba0d01256d371229d4f6161e,297,bbd132bd90c3283fffd2eec2cdd4ca02a84c8b5d1430f72d7dd5241aff2b6d3a,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/20/df29efbae63c3881428ce2b7c1bb1d35f66cd6,1240654,5e38c8c5ea6e83c15d3223764fc48f8c1cdcf877fa6a918df67f37586ed844ae,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/21/5af939009048db83885a2eebb8cba441703459,123995,e825f239d6255a08ba6e29805612d59a852097dc5a120e07742c5f2ae65ba12f,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/21/749d3785539fbf083d39b6eee5bbaeb7427f3e,170,826497b0f1c6768e26951def3c770fbd57f9bf5ae4dcc861e0a5feeca59cd7b4,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/21/75d5eb04c8bac8845038cb17a61a7cf6c0ce56,491,91bd5af5cb4940cad2547e4c6c2c5432bfec6ec3003730cc282ed9a3dca954b9,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/21/f03c0dd8e0746044966da3e83bcca05e53d88b,304,a281c17cb84001e51336787aa72ee1f8a9ceb62704ed1a9043f5c99d48e5e136,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/22/03932694c3b0bd114635b60b3dbb32d1a0ada8,1783148,3022a8f037e01012aad9273b579a917ddf1832257c450ad875594cd47388472d,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/24/a11d97111493b64d38bebc1db79dab0e5b682f,803,704888de0b12b7fca6f524a0907eaecca30ea53e29a86130df78005470ae07e2,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/24/c389562312db7d4a9f129129cb161fc83da8f6,791,0d6451bf0b8275cd42fc685592ca12813aee26e3888feec620f9fd8da89b7143,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/26/0da08848960e19c7d18debdda2fb3036618a79,821,816664952ee49bd683c79d537f72e0476e3c7e74c8c12ce22bdd05258accb0b4,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/26/77d2600b1f2d1690451f51a670b4943a5200a8,856,1ca131718b07538334f3e451c7835334dbd17bc96a5c00fa98228da39bfa33e3,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/26/ae143a3344895823c9352c6cc9629d8adc7d08,580,68578fdc05106eaffc03e1e78bcf32d53159a19c19ce0ef50a33c077d8cd238b,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/29/cac7667887d8fc212d99afe73447989cfc6384,120791,0df90d3dd23ebd0ee1d2a1b3ef631e51e125348a18af1c8d00c699321da8e6b8,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/29/fa6172675e87ffdcac578e1b3aacb49d0c4292,18211,3b36dcb8b050c316e6efeea51d690b7009ecdee52e41f584ea0e1d718547d53b,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/2a/062b8c9ad55fb83ffd52250c3a140bc661f944,614,ed1fa509aa8c341efc5feb74ed8ec374d9a96cdf34d0eefccfff80f3dfc1c8ed,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/2c/54fad9377448cb8d538f659e28297bd619fc4b,808,1dbfb406c2c3e5f1769b92e3dd5677b203050f8e68d347ca0eb054ab28628802,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/2c/d2ca3ae85cbcfedf742b804f1c3f80c2ddcc3f,806,529df5397d9789348d15177ec1e2db6e5d9c9de81cdaa8bf37a0d4cdec46d159,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/2d/41491ced43b42d181128c29607b85ccdd85534,3287,ad43e9417c8b4fe04fcc24c10b995b5a3452b0f823977290b07729b740458cf3,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/2d/ddad036ebd6d2ee4aeb2dbd2d66bb6551fab8d,620,f6a8e221c2fd413a621e38d9617f77231c417795fe67b425972822f2d1da019b,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/objects/2e/097c4e27eae2f3ed9c54fe9d1a75652935dc75,729,5d28faf598e30487d51cae2272e8b7e6eccbb686d089cea2d7eafe25360519f0,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
